feature,correlation
Loan_Amount_Term_year,0.09577011941737097
EMI_log,0.07640393013884592
income_category,0.06766126745665806
ApplicantIncome_log,0.04700791839035454
Credit_History,0.044757102031382105
Total_income_log,0.040616438981126025
Self_Employed,0.0341056253214695
Property_Area,0.032141954361664435
LoanAmount_log,0.03099438955448277
Gender,0.014853281176610843
Married,0.01467632773544023
Dependents,0.012416341800115435
Has_Coapplicant,0.012396666950593827
CoapplicantIncome_log,0.010408733705257406
Education,0.007305389933848861
